日期 最高气温 最低气温 天气 风向 风力
2018-10-01 25 12 晴 北风 2级
2018-10-02 24 10 晴 南风 微风
2018-10-03 26 10 晴 南风 微风
2018-10-04 25 12 晴 东南风 2级
2018-10-05 24 14 多云 西北风 1级
2018-10-06 20 8 晴 西北风 2级
2018-10-07 21 7 晴 东南风 1级
2018-10-08 21 9 多云 东南风 1级
2018-10-09 16 3 晴 北风 2级
2018-10-10 17 4 多云 西北风 2级
2018-10-11 18 5 晴 北风 1级
2018-10-12 20 8 多云 东风 2级
2018-10-13 20 8 晴 南风 1级
2018-10-14 20 10 多云 西南风 1级
2018-10-15 17 11 小雨 南风 1级
2018-10-16 17 7 多云 西南风 2级
2018-10-17 18 5 晴 东南风 1级
2018-10-18 18 5 晴 西南风 2级
2018-10-19 19 5 晴 南风 1级
2018-10-20 18 7 多云 南风 1级
2018-10-21 17 6 多云 北风 1级
2018-10-22 19 5 多云 北风 4级
2018-10-23 19 4 晴 南风 2级
2018-10-24 21 6 晴 西北风 微风
2018-10-25 16 8 多云 南风 1级
2018-10-26 14 3 晴 西北风 3级
2018-10-27 17 5 晴 北风 1级
2018-10-28 18 4 多云 东北风 2级
2018-10-29 15 3 晴 西北风 1级
2018-10-30 16 1 晴 东风 1级
2018-10-31 17 3 晴 南风 微风
