日期 最高气温 最低气温 天气 风向 风力
2018-10-01 25 14 多云 北风 1级
2018-10-02 25 15 多云 东风 1级
2018-10-03 27 14 晴 东北风 1级
2018-10-04 26 16 晴 北风 2级
2018-10-05 25 16 多云 北风 2级
2018-10-06 26 15 多云 东风 1级
2018-10-07 26 17 晴 东风 1级
2018-10-08 24 18 多云 东风 1级
2018-10-09 24 13 小雨 西风 2级
2018-10-10 20 10 多云 东北风 3级
2018-10-11 21 9 晴 东风 2级
2018-10-12 21 12 多云 东风 2级
2018-10-13 22 14 晴 东风 3级
2018-10-14 21 14 阴 东风 2级
2018-10-15 21 15 多云 东风 3级
2018-10-16 21 13 阴 西北风 2级
2018-10-17 22 12 多云 东北风 3级
2018-10-18 20 10 晴 东北风 2级
2018-10-19 20 12 多云 东风 2级
2018-10-20 20 13 阴 东风 2级
2018-10-21 21 16 阵雨 东风 2级
2018-10-22 19 13 小雨 西北风 微风
2018-10-23 24 13 多云 东风 微风
2018-10-24 23 15 晴 东风 2级
2018-10-25 20 16 小雨 西风 微风
2018-10-26 21 8 晴 东风 2级
2018-10-27 20 9 晴 西风 2级
2018-10-28 24 9 晴 东风 2级
2018-10-29 24 11 晴 东风 微风
2018-10-30 23 12 晴 东风 1级
2018-10-31 21 10 多云 东风 2级
